fund,category,proposal,yes,no,votes_cast,requested amount,status,overall_score
Fund10,Developer Ecosystem - The Evolu,"Web3 NFT Tokengated for eCommerces, Sites, Landing Pages & Conversion Pages - Bringing eCommerce to the Cardano blockchain",53395600,142203722,269,97857.2,NOT FUNDED,3.79
Fund10,Developer Ecosystem - The Evolu,Project Community Verification - NFTPass,24920672,114114154,138,29568,NOT FUNDED,3.8
Fund10,Developer Ecosystem - The Evolu,Hydra as a B2B layer for DeFi- a white paper and a MVP,45720637,136987448,270,109600,NOT FUNDED,4.02
Fund10,Developer Ecosystem - The Evolu,AdaWealth: Permissionless Fund Creation and Investment on Cardano,39725155,131053963,142,29955.6,NOT FUNDED,3.69
Fund10,Developer Ecosystem - The Evolu,Development of Cardano Index API,37802456,129229906,196,8200,NOT FUNDED,3.82
Fund10,Developer Ecosystem - The Evolu,Haskell Book Translation - The Way to Migrate Developers to Cardano From Other Chains,22525629,115161584,174,7200,NOT FUNDED,4.3
Fund10,Developer Ecosystem - The Evolu,"Fluxion - An Efficient, Flexible and Decentralized Custom Query Solution for Cardano",36582468,131059472,350,98461.2,NOT FUNDED,3.6
Fund10,Developer Ecosystem - The Evolu,ADAByte: Byte-sized Programming Tutorials,18374964,113312416,153,20000,NOT FUNDED,3.85
Fund10,Developer Ecosystem - The Evolu,Venture Capital deal flow: Connect investors with companies building on Cardano. Establish a deal flow process that will make it easier for investors to see the opportunities within the ecosystem.,29397402,124876513,146,28820,NOT FUNDED,4.2
Fund10,Developer Ecosystem - The Evolu,"Connecting Tech 2 Business. Promoting Cardano tech startups to business customers for sales, pilot or market feedback.",7884518,106466682,145,23540,NOT FUNDED,4.41
Fund10,Developer Ecosystem - The Evolu,[C2VN]: Cardano developer club in Universities,44493085,144178967,251,56813.2,NOT FUNDED,4.6
Fund10,Developer Ecosystem - The Evolu,"Fundraising support. Workshops, one on one sessions and a final pitch event for investors.",6150605,107954651,148,26180,NOT FUNDED,4.4
Fund10,Developer Ecosystem - The Evolu,ARTIFICIAL INTELLIGENCE Open Source ML/DApps,25735133,127775998,213,79399.6,NOT FUNDED,4.43
Fund10,Developer Ecosystem - The Evolu,Cardano For the Msses - Vietnamese Book for Vietnamese Devs,33884474,136443414,199,21863.6,NOT FUNDED,3.98
Fund10,Developer Ecosystem - The Evolu,DEMU Protocol | Phase 3 - Music Rights Management,47107736,149854584,362,264607.6,NOT FUNDED,4.09
Fund10,Developer Ecosystem - The Evolu,Sense - Smart contract Analyzer,20381150,123807247,146,30172.4,NOT FUNDED,4.21
Fund10,Developer Ecosystem - The Evolu,Add Fresh Engineering and Science Graduates to Developer Ecosystem,3757790,107490478,136,37600,NOT FUNDED,3.69
Fund10,Developer Ecosystem - The Evolu,"Cardano Developers Community in Kolkata, India",25091725,129683581,179,39360,NOT FUNDED,4.62
Fund10,Developer Ecosystem - The Evolu,Cardano Hackathon in Argentina II,24917346,130043817,190,40000,NOT FUNDED,4.1
Fund10,Developer Ecosystem - The Evolu,Unlocking Potential: Making Cardano the Go-To Choice for Developers.,8233507,113454597,155,37800,NOT FUNDED,4
Fund10,Developer Ecosystem - The Evolu,10 Marlowe templates - Marlowe has launched the mainnet. Now anyone can become a Cardano smart contracts developer,20298595,125537703,212,55750,NOT FUNDED,4.58
Fund10,Developer Ecosystem - The Evolu,"To address the scarcity of development tools and resources for Helios, a functional Domain-Specific Language (DSL) implemented in Javascript, my proposal is to enhance it by incorporating additional templates, examples, videos, docs and tests.",5589372,111101508,126,28200,NOT FUNDED,3.78
Fund10,Developer Ecosystem - The Evolu,MeetProposer-Bright Up Developer's Ideas,5932766,111878968,163,29270.4,NOT FUNDED,4
Fund10,Developer Ecosystem - The Evolu,9 Minutes to Million: Catalyst Project - Where Developer Dreams Flourish,3377540,109771774,138,43264.8,NOT FUNDED,3.67
Fund10,Developer Ecosystem - The Evolu,[C2VN]: Project Catalyst 360 events for Universities,12926681,120027474,202,21952,NOT FUNDED,4.54
Fund10,Developer Ecosystem - The Evolu,Incorporating Cardano blockchain into student scientific research projects,23815808,131345941,160,44506.8,NOT FUNDED,3.83
Fund10,Developer Ecosystem - The Evolu,Cardano-Africa French Community,19058393,126789510,148,38194,NOT FUNDED,4.27
Fund10,Developer Ecosystem - The Evolu,"Building bridges between Cardano, universities, and the private sector in Chile",21770218,129708969,208,40000,NOT FUNDED,4.36
Fund10,Developer Ecosystem - The Evolu,Mafoc: a composable chain indexer framework,5008765,113361709,137,76000,NOT FUNDED,2.73
Fund10,Developer Ecosystem - The Evolu,Developer Studio,11685138,120136582,152,34346.8,NOT FUNDED,4.54
Fund10,Developer Ecosystem - The Evolu,"Bring Cardano Blockchain Certified Associate, Gimbalabs Plutus Project-Based Learning(PPBL) and Catalyst School to developers",17506861,126525374,170,72960,NOT FUNDED,4.47
Fund10,Developer Ecosystem - The Evolu,Ethereum2Cardano On-Chain Developer Dictionary,18110240,127518172,198,60000,NOT FUNDED,3.96
Fund10,Developer Ecosystem - The Evolu,"Bespoke mentoring support programme for engaged Dev teams with a product, who are ready to secure the resources to 10x their business growth",2423536,114132738,135,19200,NOT FUNDED,3.78
Fund10,Developer Ecosystem - The Evolu,Oracle to connect electronic invoices systems for #RealFi use cases,12664465,124373786,150,60000,NOT FUNDED,4.29
Fund10,Developer Ecosystem - The Evolu,Open-source sign-in framework: Sign-in with wallet and/or CNFTs,9068380,121265743,152,22068.8,NOT FUNDED,4.4
Fund10,Developer Ecosystem - The Evolu,Cardano RealFi Consortium - Coordinator Role: Streamlining Synergies for Real World Blockchain Solutions,11119547,124381779,139,20000,NOT FUNDED,3.87
Fund10,Developer Ecosystem - The Evolu,Developers Reward program DEV$,12574818,126331435,135,58000,NOT FUNDED,3.22
Fund10,Developer Ecosystem - The Evolu,Stablecoin payments in Africa without an internet connection or a bank account - Kotani Pay integration,19521485,134101747,227,130400,NOT FUNDED,4.07
Fund10,Developer Ecosystem - The Evolu,web3.0 Recruitment application,13243591,127958252,139,28000,NOT FUNDED,2.27
Fund10,Developer Ecosystem - The Evolu,Adafro Labs Uganda - Cardano First principles Hackathon,17408786,132306243,140,27470,NOT FUNDED,2.6
Fund10,Developer Ecosystem - The Evolu,45B - Marlowe workshops for non-tech builders of diverse backgrounds. Simple hands-on learning of Cardano Smart Contracts.,27384653,142810908,166,19800,NOT FUNDED,4.53
Fund10,Developer Ecosystem - The Evolu,Live-Coding Haskell (Cardano's Smart Contract Programming Language)- Bring Thousand of Developers to Cardano Ecosystem with 30 Live-Coding Sessions,13199178,130159880,159,24000,NOT FUNDED,4.38
Fund10,Developer Ecosystem - The Evolu,CodeRunner4Cardano.,8698232,126102398,149,72000,NOT FUNDED,4.3
Fund10,Developer Ecosystem - The Evolu,"NFT Developer Community Initiatives: Standards, Tools & Best Practices",10294236,127717487,148,52800,NOT FUNDED,4.34
Fund10,Developer Ecosystem - The Evolu,"Crypto wallets for signup, login, and 2FA",13407392,130864035,152,54912,NOT FUNDED,3.87
Fund10,Developer Ecosystem - The Evolu,"Learn how to protect your personal information and assets,as failing to do so can turn them into a money making tool for technology criminals(hackers).This proposal provides an educational solution for this issue, empowering you to safeguard yourself",14215101,132533509,139,39920,NOT FUNDED,4.26
Fund10,Developer Ecosystem - The Evolu,Standardizing Health Interoperability: Putting FHIR in Blockchain,6761226,126169881,139,16200,NOT FUNDED,4.29
Fund10,Developer Ecosystem - The Evolu,Dims: Distributed Idea Management System,4793191,124235250,122,18000,NOT FUNDED,3.76
Fund10,Developer Ecosystem - The Evolu,Dev Course in Angola in Portuguese,6344373,126141813,144,39093.2,NOT FUNDED,4.17
Fund10,Developer Ecosystem - The Evolu,devada.xyz - Cardano Developer Discovery Platform,7236761,127694943,201,20000,NOT FUNDED,3.85
Fund10,Developer Ecosystem - The Evolu,Open Source Automation,5475557,126699533,133,27520,NOT FUNDED,3.87
Fund10,Developer Ecosystem - The Evolu,"""Build a CNFT"" mobile funcionality for games",12130561,133419862,153,58000,NOT FUNDED,2.67
Fund10,Developer Ecosystem - The Evolu,Fostering Innovation: Swiss Cardano Hackathon Series in Geneva - Inspiring collaboration & creativity for blockchain development,8006023,129701538,139,41800,NOT FUNDED,4
Fund10,Developer Ecosystem - The Evolu,An interactive frontend builder Playground to enable developers drag-and-drop to craft iOS and Android mobile apps on Cardano Ecosystem,7916468,129727010,177,76776,NOT FUNDED,4.24
Fund10,Developer Ecosystem - The Evolu,Cardano Daily Digest Newsletter - Send 240+ daily newsletter posts over 1 year about the Cardano Ecosystem,17671940,141232980,237,31697.2,NOT FUNDED,4.61
Fund10,Developer Ecosystem - The Evolu,Cardano NFT Support Hub: Building a Comprehensive Help Desk for NFT Creators and Developers,5717860,129335280,139,35360,NOT FUNDED,4.24
Fund10,Developer Ecosystem - The Evolu,Cross-Chain Unity: Empowering Cardano Native Tokens with Multi-Blockchain Interoperability,14236289,138184864,198,172400,NOT FUNDED,4.01
Fund10,Developer Ecosystem - The Evolu,[C2VN]: Cardano Blockchain training center for non-native English communities developers,14952900,139413258,204,64048,NOT FUNDED,4.32
Fund10,Developer Ecosystem - The Evolu,NFT Guild Shorts: Condensed Insights and Essential Learnings,7004828,131485420,141,36800,NOT FUNDED,4.09
Fund10,Developer Ecosystem - The Evolu,[C2VN]: Cardano developer courseware in Universities,29498937,154051273,244,82346.8,NOT FUNDED,4.51
Fund10,Developer Ecosystem - The Evolu,"cardaMEDIA - Increase the market reach/success of your funded proposal through a community-subsidized professional media planning, translation and copywriting service",4386795,129719260,150,99840,NOT FUNDED,3.64
Fund10,Developer Ecosystem - The Evolu,Catalyst Communication and Collaborations: Real-Time AI Language translation tool For Catalyst communities,15839529,141208178,190,138200,NOT FUNDED,3.36
Fund10,Developer Ecosystem - The Evolu,"Building a Learning, Verification and Job Placement Platform that will will enhance verification of identities by different independent entities such as corporates, 3rd party organizations and learning institutions.",6600836,132737019,141,80000,NOT FUNDED,3.94
Fund10,Developer Ecosystem - The Evolu,NFT Vending Machine - An Open-Source Faucet for Complex NFT Mints,8865794,135294067,179,60000,NOT FUNDED,3.93
Fund10,Developer Ecosystem - The Evolu,B-Learn Cardano: Learn and Verify Yourself through MCQs.,13466504,140640322,180,192000,NOT FUNDED,3.81
Fund10,Developer Ecosystem - The Evolu,ADABET.iO | Cardano Betting DApp Platform | Phase 2,10668628,138540390,176,119353.6,NOT FUNDED,4.38
Fund10,Developer Ecosystem - The Evolu,"DLT360: cardaLABS Integrator - Empowering Cardano's Market Reach by integrating Specialized Architects, Business Analysts, and DevOps for Optimal Results",7879277,135765323,165,90000,NOT FUNDED,4.44
Fund10,Developer Ecosystem - The Evolu,CIPs for a Sustainable Future: Funding Community-Driven Proposals Aligned with SDGs,16841639,144773398,160,88000,NOT FUNDED,3.6
Fund10,Developer Ecosystem - The Evolu,Make Earning ADA Easier for Developers,5833505,134264816,160,23296,NOT FUNDED,3.96
Fund10,Developer Ecosystem - The Evolu,GreenPulse // Cardano Carbon Footprint Calculator // Measure. Act. Make an Impact powered by @energiasocial,12673952,142473033,180,30000,NOT FUNDED,3.8
Fund10,Developer Ecosystem - The Evolu,Cardano DevHub: Democratizing Tech Education and Bridging the Skills-to-Employment Gap,4335551,135400018,151,104000,NOT FUNDED,4.07
Fund10,Developer Ecosystem - The Evolu,IndieHUB x FluxusNetwork,2295159,134889322,143,72000,NOT FUNDED,3.07
Fund10,Developer Ecosystem - The Evolu,[C2VN]: Cardano Coffee Lounge in Universities (P2),8034447,141354949,204,16192,NOT FUNDED,4.35
Fund10,Developer Ecosystem - The Evolu,"If you build it, they will come. Just build things people NEED or WANT. Like authenticated CV's or awards or authenticated participation.",2032821,135764284,143,30000,NOT FUNDED,2.5
Fund10,Developer Ecosystem - The Evolu,Women: The real drivers and implementers of DeFi / RealFi solutions and strategies in the local context of Africa. Let's put them at the front stage!,4783244,139976774,199,20800,NOT FUNDED,4.33
Fund10,Developer Ecosystem - The Evolu,"Training Refugees in refugee camps coding techniques, blockchain and Plutus PBL",15029470,158067441,232,265700,NOT FUNDED,4.23
Fund10,Developer Ecosystem - The Evolu,"Professional Directory Platform of Blockchain & Web3 Investors, Founders, Venture Capitalists, Angel Investors, Accelerators, Launchpads and Open Innovation - Investor Network Community",5585112,148624617,212,79000,NOT FUNDED,3.38
Fund10,Developer Ecosystem - The Evolu,Genesis web 3.0_Engineers Excellence space,3494121,152488930,184,235179.6,NOT FUNDED,2.73
Fund10,Developer Ecosystem - The Evolu,Camp Cardano,9899926,176623665,232,300000,NOT FUNDED,3.04
Fund10,Developer Ecosystem - The Evolu,PharmaChain: A Dedicated Sidechain for Pharmaceutical Applications on Cardano,6634565,208787175,368,128000,NOT FUNDED,3.58
Fund10,Developer Ecosystem - The Evolu,CRM Sidechain: Empowering Decentralized Business Transactions on Cardano,6394501,271094506,611,120000,NOT FUNDED,3.91
Fund10,Developer Ecosystem - The Evolu,Mobility and Transportation Sidechain,8015729,277130223,692,120000,NOT FUNDED,3.13
Fund10,DAOs  Cardano,Minswap Liquidity Bootstrapping for DAOs,412904272,147240759,808,82400,FUNDED,4.51
Fund10,DAOs  Cardano,Sundae Labs Automated Price Discovery,318560213,65377117,527,124000,FUNDED,4.13
Fund10,DAOs  Cardano,Empowering Koios: Cultivating a Self-Sustaining Infrastructure Through Strategic Incentives,241502598,14315914,416,28000,FUNDED,4.68
Fund10,DAOs  Cardano,Audit for Open-source LBE for DAOs,157144389,13689880,224,54200,FUNDED,4.18
Fund10,DAOs  Cardano,Clarity DAO Infrastructure Liquid Democracy Capability,133128411,13388403,260,12800,FUNDED,4.69
Fund10,DAOs  Cardano,Multisig Wallet Connector (CIP-30 expansion),107089101,19895340,222,17200,FUNDED,4.07
Fund10,DAOs  Cardano,Adosia Open Governance Model,138657267,54123276,278,43000,FUNDED,3.8
Fund10,DAOs  Cardano,DAO Treasury & Protocol Parameter Management via On-Chain Governance - By MuesliSwap,187514436,114132628,419,74000,FUNDED,4.37
Fund10,DAOs  Cardano,Agora Suite Expansion: NFT Standards and Novel Token Structures Integration,98385689,29529456,184,110000,FUNDED,3.6
Fund10,DAOs  Cardano,Reach your people - social media and messaging integrations for DAOs and NFT projects,91022664,26605424,203,126000,FUNDED,4.21
Fund10,DAOs  Cardano,TripHut: DAO Open Source Code Audit & Bug Bounty,93443911,32180404,172,64000,FUNDED,3.38
Fund10,DAOs  Cardano,Open-Source On-Chain DAO Governance,156435415,102596725,407,226760,FUNDED,3.98
Fund10,DAOs  Cardano,Socious: Decentralized Referral System for DAOs,161078689,107812653,424,138285.6,FUNDED,4.72
Fund10,DAOs  Cardano,Latam Cardano Community Operations - DAO infrastructure for a Wide Purpose,81373171,31020960,219,37242,FUNDED,4.08
Fund10,DAOs  Cardano,Clarity DAO Treasury Defi Integrations,44289920,14567990,198,36800,FUNDED,4.2
Fund10,DAOs  Cardano,DAOs <3 smart contracts for skill-acquisition and contribution tracking.,53520657,30931936,198,77853.6,FUNDED,4.06
Fund10,DAOs  Cardano,DAO Owned Staking Keys,35817398,15231982,219,26800,NOT FUNDED,4.59
Fund10,DAOs  Cardano,Cardano Dubai Hub - Inclusivity and Innovation For Everyone,58831730,41652051,292,140000,NOT FUNDED,4.25
Fund10,DAOs  Cardano,"45B - PayMeInADA - A Global Map and Directory of Businesses taking payments in ADA - Facilitating Adoption, using Marlowe",35588026,31525724,181,46640,NOT FUNDED,3.44
Fund10,DAOs  Cardano,9 DAO sample project - DAO or decentralized governance now everywhere in blockchain world. But there are few people participate in this activity. The reason is...,28359922,26222562,199,14668.8,NOT FUNDED,4.25
Fund10,DAOs  Cardano,"A builders guide to DAOs - Learn the practical tools and skills to launch your decentralized governance layer. Let's automate the best practices for regulatory clarity, compliance, community building, branding, fundraising, and general operations.",26223556,25370985,188,59260,NOT FUNDED,4.29
Fund10,DAOs  Cardano,"An opensource smart contract for donation, distribution and contribution to a common DAO treasury",22433727,25092775,188,58400,NOT FUNDED,3.71
Fund10,DAOs  Cardano,DAO 4 expert groups. Design a DAO model & tools needed to bring together a network of experts to collaborate around specific topics.,17019935,21345698,152,20100,NOT FUNDED,4.19
Fund10,DAOs  Cardano,Clarity DAO Pitch Competition,28888913,33846761,195,80000,NOT FUNDED,3.41
Fund10,DAOs  Cardano,GitHub pull request management by Onchain voting with Encryption and Delegation,24820359,29894649,157,30000,NOT FUNDED,3.46
Fund10,DAOs  Cardano,Experimentation of Data Contribution Token Rewards for a future PositiveBlockchain DAO,19140147,27712304,184,10000,NOT FUNDED,4.31
Fund10,DAOs  Cardano,NFTPass V2I: Poll & Vote Features,29180784,39858932,178,20328,NOT FUNDED,3.73
Fund10,DAOs  Cardano,TerraRock: Bringing DAO structure and Revolutionizing Real Estate Investments with Crypto/blockchain Integration.,18354598,29058746,174,80000,NOT FUNDED,3.74
Fund10,DAOs  Cardano,SolarGate DAO // Cardano Renewable Energy Social Business // Empowering Communities with Solar Energy Solutions powered by @energiasocial,18325361,29228178,189,30000,NOT FUNDED,4.35
Fund10,DAOs  Cardano,Swiss-DAO Ecosystem Collaboration & Integration,12828873,23815804,175,32400,NOT FUNDED,4.41
Fund10,DAOs  Cardano,Decentralized Voteaire Ballot Counter,11642117,24355389,171,30753.2,NOT FUNDED,3.93
Fund10,DAOs  Cardano,Onboarding for Evolutionary Organizations: A primer for DAO contribution,14230546,27250814,165,61600,NOT FUNDED,4.13
Fund10,DAOs  Cardano,Catalyst in comparison to other DAOs,19689651,33391124,162,9599.6,NOT FUNDED,3.58
Fund10,DAOs  Cardano,CIDA DAO - Coalition of International Disability Allies - connected to ADA,13234821,27129860,177,40000,NOT FUNDED,4.48
Fund10,DAOs  Cardano,Research: Optimizing Governance for Parallel Experimentation - Rethinking the Structure of DAOs,33602501,50186668,179,8000,NOT FUNDED,4.65
Fund10,DAOs  Cardano,Powering Cardano DAOs with AI,11447924,28435344,173,34000,NOT FUNDED,4.11
Fund10,DAOs  Cardano,"Art Free Community DAO: Uniting talents, surpassing limits, creating magic!",14993233,32266627,163,30000,NOT FUNDED,3.97
Fund10,DAOs  Cardano,Green DAO: Empowering Sustainable Initiatives on the Cardano Blockchain,18262330,36546520,178,36000,NOT FUNDED,3.52
Fund10,DAOs  Cardano,Embracing Cardano DAO in Liberia,15100902,34663567,179,57900,NOT FUNDED,3.42
Fund10,DAOs  Cardano,"Esusu Meets Cardano : Driving Financial Inclusion, Transparency and Accountability in Nigeria's Esusu Groups.",13432985,33737677,157,46900,NOT FUNDED,3.75
Fund10,DAOs  Cardano,"Mental Health DAO - A Mental Health and Wellbeing focused DAO bringing people together through art, dialogue and collaboration.",11593627,32130859,187,8000,NOT FUNDED,3.95
Fund10,DAOs  Cardano,DAO DiplomD: towards the Decentralization of Academic Governance in Higher Education in LATAM.,6730295,27431879,160,63168,NOT FUNDED,4.15
Fund10,DAOs  Cardano,Harmonica: chatbot for LLM-powered deliberation in Cardano DAOs,8930320,29798558,162,30000,NOT FUNDED,4
Fund10,DAOs  Cardano,Embed Voteaire On-Chain Voting In 3rd Party Sites,7757375,28721994,154,50000,NOT FUNDED,3.56
Fund10,DAOs  Cardano,Yenna Foundation is a non-profit and member-led community where members leverage smart contract-governed tokenization tools and training for farm land digitisation,12395512,33533752,153,30000,NOT FUNDED,3.39
Fund10,DAOs  Cardano,"How to set up a DAO: the legally compliant way - Setting up a legally compliant DAO involves choosing the right jurisdiction, considering KYC/AML procedures, and ensuring transparent governance for successful operations.",11449794,32644605,168,38380,NOT FUNDED,3.74
Fund10,DAOs  Cardano,DAO - Evaluation of Funded Proposals,5308055,26685543,162,31600,NOT FUNDED,3.56
Fund10,DAOs  Cardano,Empowering Sustainable Trade: $GreenHealthyHouse.DAO has a vision for a Greener Future,19780308,41849536,185,30000,NOT FUNDED,2.68
Fund10,DAOs  Cardano,Bringing Investors to Cardano,15228653,37528899,237,24288,NOT FUNDED,3.59
Fund10,DAOs  Cardano,unLearn: The Network Neighborhood (Decentralized & Autonomous Funding Mechanism),7143304,29594978,173,120000,NOT FUNDED,3.67
Fund10,DAOs  Cardano,"Domino DAO: Where Impact Measurement, Impact Investing, Impact Evaluation, and Proof of Impact NFTs collide with decentralization for a positive ripple effect",5584483,29204963,162,53000,NOT FUNDED,3.88
Fund10,DAOs  Cardano,iRate barbers (Booking & payment system for mobile services) DAO,6014071,29648403,161,26000,NOT FUNDED,3.8
Fund10,DAOs  Cardano,Cardano Software Review,7551917,31541879,175,52000,NOT FUNDED,3.8
Fund10,DAOs  Cardano,Gaman: Decentralized Platform for Communication and Social Impact on Cardano.,14923159,39245440,162,30000,NOT FUNDED,3.02
Fund10,DAOs  Cardano,Cardano School: a Cardano Community DAO for Educational Content Creation,29130865,54543336,201,80000,NOT FUNDED,3.66
Fund10,DAOs  Cardano,Building the perfect DAO,7476523,33041034,160,7496,NOT FUNDED,3.27
Fund10,DAOs  Cardano,MITHR Crowd DAO - Open your ideas to the world!,5724310,31329072,158,26000,NOT FUNDED,3.37
Fund10,DAOs  Cardano,[4] A Methodology for Enabling Self-Driven CommunityDAOs,4335417,30606783,143,12000,NOT FUNDED,3.58
Fund10,DAOs  Cardano,ReneWorld: A Cardano DAO,3479721,33020935,153,16000,NOT FUNDED,3.67
Fund10,DAOs  Cardano,A study on Network Nations,3561923,33425073,154,16800,NOT FUNDED,3.58
Fund10,DAOs  Cardano,Arabic Work DAO,4569864,34454195,178,15200,NOT FUNDED,3.59
Fund10,DAOs  Cardano,"""Building a Safe and Decentralized Space: Exploring Non-Allopathic Medicines with Cortex DAO's Community-Owned Platform""",3903882,34125563,172,120000,NOT FUNDED,3.44
Fund10,DAOs  Cardano,BORA: Empower Tomorrow's Leaders,5165494,37215494,166,20800,NOT FUNDED,3.37
Fund10,DAOs  Cardano,PsychDAO: Psychology DAO for mental health & P2P Learning,2029253,35107444,167,6000,NOT FUNDED,3.28
Fund10,DAOs  Cardano,Grassroots Governance Community Forums,12490462,46067579,200,19200,NOT FUNDED,4.75
Fund10,DAOs  Cardano,DLT360: cyberLEAN auditshare - A DAO-like assurance sharing platform for business audit requirements,7052410,41403688,200,164500,NOT FUNDED,3.22
Fund10,DAOs  Cardano,Adawell DAO: Wellness Initiatives on Cardano DAO Tools,6369457,50484920,173,49655.2,NOT FUNDED,3.95
Fund10,DAOs  Cardano, DAOGEN.ai: Interactive Adventures with a DAOGEN Master - AI Driven Quests  to Learn Blockchain and DAOs ,50025865,100349519,219,82930,NOT FUNDED,4.1
Fund10,DAOs  Cardano,Paideia DAO Management Software Suite,59813794,114207019,311,340000,NOT FUNDED,4.16
Fund10,DAOs  Cardano,"""Catalyst Reward DAO"": A collaborative platform for expert community members",36753783,99411180,269,117096,NOT FUNDED,4.73
Fund10,DAOs  Cardano,Soulbound Tokens in Cardano,30494938,108523769,220,84000,NOT FUNDED,4.38
Fund10,DAOs  Cardano,Community Decentralisation Index - Measuring the Decentralisation Gaps of DAOs,23851640,104289727,172,79360,NOT FUNDED,4
Fund10,DAOs  Cardano,"Stackles: ""Bookmarking and File storage"" tool for DAOs and Web3 Ecosystems",12571068,102222022,170,100000,NOT FUNDED,3.81
Fund10,DAOs  Cardano,"Let's onboard to Cardano through its first DAO Incubator, those cultural organizations that struggle lack of monetization opportunities, inefficient retribution structures and entry barriers to suitable DAO solutions!",10164928,99946370,185,120000,NOT FUNDED,4.33
Fund10,DAOs  Cardano,Bring Decentralized Organization tools to the front of the community,11325465,102298167,215,166740,NOT FUNDED,4.18
Fund10,DAOs  Cardano,Improve Cardano's News & Media DAO,6535353,102586814,176,120000,NOT FUNDED,3.77
Fund10,DAOs  Cardano,"Proto Automata - A Game Development DAO Offering Holders Creative Power and Profit Share; Catalyst Outputs Built to Model, Test, and Springboard Open Source Gaming DAO Management Tools for ADAO",12396013,109563322,188,220689.6,NOT FUNDED,3.47
Fund10,DAOs  Cardano,SPACIOM: An Immersive Home For DAOs,4953400,105292364,163,120000,NOT FUNDED,3.47
Fund10,DAOs  Cardano,DLT360: The Power of Community! Generating and Sharing News on Global Scale for Continuously Creating High-Quality Web 3.0 Knowledge,7592898,109800668,197,100000,NOT FUNDED,4.27
Fund10,DAOs  Cardano,Consenz: Governance Documentation Co-Creation,12757397,117401979,190,140000,NOT FUNDED,3.94
Fund10,DAOs  Cardano,Wisdom Peer-to-peer network on cardano blockchain,4030620,124981620,211,251828.8,NOT FUNDED,2.41
Fund10,DAOs  Cardano,LawFinDAO: A Comprehensive DAO for ESG-Compliant Regulatory Management,3251950,157148390,298,360000,NOT FUNDED,3.3
Fund10,DAOs  Cardano,Fleet Management DAO,8863269,266011777,720,180000,NOT FUNDED,3.89
Fund10,DAOs  Cardano,Taxi DAO,4933509,265825581,713,80000,NOT FUNDED,3.28
Fund10,DAOs  Cardano,Car-Sharing DAO,7976574,279154275,770,360000,NOT FUNDED,3.59
Fund10,DAOs  Cardano,Ride-hailing (Uber-Like) DAO,7380552,288733267,773,360000,NOT FUNDED,3.46
Fund10,Atala PRISM Launch Ecosystem,Ecosystem Building & Large-scale Atala Tech Deployment Blueprint,348502834,30391360,530,220000,FUNDED,4.44
Fund10,Atala PRISM Launch Ecosystem,"For the Enterprise Domain, Decentralized Identity Solution Implementation",330373684,68089719,462,391200,FUNDED,3.8
Fund10,Atala PRISM Launch Ecosystem,Sundae Governance + Atala Prism Integration,291911385,42359367,505,73600,FUNDED,3.93
Fund10,Atala PRISM Launch Ecosystem,Framework for Authenticity Verification of Tokenized Real-World Assets based on Atala Prism,250052141,46186344,400,400000,FUNDED,4.03
Fund10,Atala PRISM Launch Ecosystem,Cardano DEX Protocol with DIDs Layer,211399333,51715422,470,78000,FUNDED,4.07
Fund10,Atala PRISM Launch Ecosystem,Socious: Work History as Verifiable Credentials,198060328,39651697,406,141485.6,NOT FUNDED,4.56
Fund10,Atala PRISM Launch Ecosystem,Incentivized Onboarding & Identity in Africa - Leveraging Atala PRISM,178757527,31964922,266,95680,FUNDED,4.28
Fund10,Atala PRISM Launch Ecosystem,DAO Governance x Atala PRISM - By MuesliSwap,236880582,115568693,479,87200,NOT FUNDED,4.52
Fund10,Atala PRISM Launch Ecosystem,KYC Standardization Framework: Modular-based solution for Identity Verification and Management on Atala PRISM,104232775,10502022,427,100000,NOT FUNDED,4.5
Fund10,Atala PRISM Launch Ecosystem,Cardano Privacy Alliance - Creating interoperability standards for KYC/AML within DIDs on Atala Prism,82710570,27516733,312,50000,NOT FUNDED,4
Fund10,Atala PRISM Launch Ecosystem,Reusable Identity Verification and Governance Framework Template,85603634,33110298,198,99840,NOT FUNDED,4.1
Fund10,Atala PRISM Launch Ecosystem,Coffee user review solution with Atala in a Valueway projects,81967163,44190019,254,90587.2,NOT FUNDED,4.28
Fund10,Atala PRISM Launch Ecosystem,DirectEd- Coding Schools and Employers Governance Framework in Africa,50316827,31167944,256,100000,NOT FUNDED,4.8
Fund10,Atala PRISM Launch Ecosystem,"Beyond Atala Prism: SSI, Grassroots Participation and Emergent Solutions in DIDs",50075950,36892917,250,100000,NOT FUNDED,4.73
Fund10,Atala PRISM Launch Ecosystem,Open Banking for DeFi from licensed AISP in Europe (Fizen.com),36837389,27327921,197,112000,NOT FUNDED,4.08
Fund10,Atala PRISM Launch Ecosystem,Mastering Atala PRISM Book,36642185,27937046,205,120000,NOT FUNDED,4.5
Fund10,Atala PRISM Launch Ecosystem,PRISM Verifiable Credential badges,33421421,26893807,218,63720,NOT FUNDED,4.73
Fund10,Atala PRISM Launch Ecosystem,Bridging Language Barriers: An Open Translation Library for eIDAS Connectors,35948063,31502482,177,13000,NOT FUNDED,4.67
Fund10,Atala PRISM Launch Ecosystem,Prism support for popular SSI agents. Adding prism to Veramo and Aries Framework Agents.,29804967,29563142,155,72000,NOT FUNDED,4.5
