Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Ccy,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Funding category,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund12,Boosting Cardano Adoption: A Comprehensive Content & Media Strategy,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/boosting-cardano-adoption-a-comprehensive-content-and-media-strategy,3.67,181,16801450,46069142,0,16801450,ADA,NO,100000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,119095,https://app.ideascaleapp.eu/t/UCNZhAX,114,78,76,68.42%,97.44%,4.01,3.46,3.54
Fund12,Boosting Cardano DeFi with Real World Assets (RWAs) Yield,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/boosting-cardano-defi-with-real-world-assets-rwas-yield,4.10,198,45108662,40288462,0,45108662,ADA,NO,100000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,123634,https://app.ideascaleapp.eu/t/UCNZiNx,100,73,66,73.00%,90.41%,4.31,4.13,3.86
Fund12,Boosting Cardano's Share in Web3 Gaming.,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/boosting-cardanos-share-in-web3-gaming,3.91,233,25671801,117517536,0,25671801,ADA,NO,300000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,122354,https://app.ideascaleapp.eu/t/UCNZh2y,121,74,73,61.16%,98.65%,4.01,3.95,3.78
Fund12,Boosting the Cardano Ecosystem in LATAM,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/boosting-the-cardano-ecosystem-in-latam,4.21,213,30502735,42973062,0,30502735,ADA,NO,99900,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121072,https://app.ideascaleapp.eu/t/UCNZhhx,107,66,66,61.68%,100.00%,4.32,4.3,4.02
Fund12,Boros: Tx submission for intense workloads by TxPipe,Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/boros-tx-submission-for-intense-workloads-by-txpipe,4.22,514,140489593,44371038,0,140489593,ADA,YES,198750,FUNDED,8036818,,Cardano Open Developers,122536,https://app.ideascaleapp.eu/t/UCNZh5x,107,68,68,63.55%,100.00%,4.5,4.22,3.94
Fund12,BOWERY-ocfug: updating traditional bricks & mortar green grocery that lives in web 3,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/bowery-ocfug-updating-traditional-bricks-and-mortar-green-grocery-that-lives-in-web-3,3.85,151,31708132,48974549,0,31708132,ADA,NO,300000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,121999,https://app.ideascaleapp.eu/t/UCNZhw9,119,75,75,63.03%,100.00%,4.24,3.61,3.69
Fund12,Brailie | Empowering Cardano Growth in Africa & Latin America,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/brailie-or-empowering-cardano-growth-in-africa-and-latin-america,3.42,173,14843533,50521728,0,14843533,ADA,NO,100000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123607,https://app.ideascaleapp.eu/t/UCNZiNV,132,86,77,65.15%,89.53%,3.85,3.13,3.27
Fund12,Bridging Worlds: Empowering Cardano through Global Event Outreach,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/bridging-worlds-empowering-cardano-through-global-event-outreach,3.34,149,19879118,45615589,0,19879118,ADA,NO,72000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123510,https://app.ideascaleapp.eu/t/UCNZiLv,117,75,67,64.10%,89.33%,3.76,3.13,3.13
Fund12,Bring Ebay to Cardano: Decentralized Real Product Auction Platform,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/bring-ebay-to-cardano-decentralized-real-product-auction-platform,4.13,312,47590123,38786785,0,47590123,ADA,YES,100000,FUNDED,3036301,,Cardano Use Cases Concept,121774,https://app.ideascaleapp.eu/t/UCNZhtS,117,71,71,60.68%,100.00%,4.28,4.06,4.06
Fund12,Bring TicketMe most successful Japanese NFT Ticketing company to Cardano,Cardano Use Cases: Product,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-product/bring-ticketme-most-successful-japanese-nft-ticketing-company-to-cardano,4.11,339,81317195,40000535,0,81317195,ADA,YES,498000,NOT FUNDED,63006,Over Budget,Cardano Use Cases Product,121854,https://app.ideascaleapp.eu/t/UCNZhum,107,72,72,67.29%,100.00%,4.33,4,4.01
Fund12,Bring Tier 1 influencers to Cardano through Impact marketing.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/bring-tier-1-influencers-to-cardano-through-impact-marketing,4.01,193,27490651,43234257,0,27490651,ADA,NO,93333,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122597,https://app.ideascaleapp.eu/t/UCNZh6x,109,71,71,65.14%,100.00%,4.25,3.99,3.79
Fund12,Bringing bank accounts (IBAN) On-Chain on Cardano through a L2 network,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/bringing-bank-accounts-iban-on-chain-on-cardano-through-a-l2-network,4.01,229,31367109,39622758,0,31367109,ADA,NO,100000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,123067,https://app.ideascaleapp.eu/t/UCNZiEf,112,78,78,69.64%,100.00%,4.28,3.99,3.76
Fund12,Bringing Partisia Confidential Compute to Cardano Through Aiken Data Subscription Smart Contracts,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/bringing-partisia-confidential-compute-to-cardano-through-aiken-data-subscription-smart-contracts,3.93,156,48971527,42404347,0,48971527,ADA,YES,100000,FUNDED,3236301,,Cardano Use Cases Concept,122327,https://app.ideascaleapp.eu/t/UCNZh2W,111,68,68,61.26%,100.00%,4.21,3.87,3.72
Fund12,BTC ordinals applied to Cardano,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/btc-ordinals-applied-to-cardano,4.02,184,18314540,42114259,0,18314540,ADA,NO,100000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,121221,https://app.ideascaleapp.eu/t/UCNZhkO,109,70,70,64.22%,100.00%,4.07,4.09,3.91
Fund12,BTC/ETH smart accounts on Cardano,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/btceth-smart-accounts-on-cardano,3.65,391,202748857,112544551,0,202748857,ADA,YES,286000,FUNDED,5400250,,Cardano Use Cases MVP,120749,https://app.ideascaleapp.eu/t/UCNZhcf,114,70,69,61.40%,98.57%,4.07,3.34,3.55
Fund12,Bug Bounty Platfrom: move from concept to MVP,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/bug-bounty-platfrom-move-from-concept-to-mvp,4.00,188,24665236,112811402,0,24665236,ADA,NO,275000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,123320,https://app.ideascaleapp.eu/t/UCNZiIo,114,73,71,64.04%,97.26%,4.43,3.87,3.69
Fund12,Build a customised LLM for Aiken Smart Contract code analysis and release on Hugging Face,Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/build-a-customised-llm-for-aiken-smart-contract-code-analysis-and-release-on-hugging-face,4.14,290,66904204,46906448,0,66904204,ADA,YES,24890,NOT FUNDED,743,Over Budget,Cardano Open Developers,122486,https://app.ideascaleapp.eu/t/UCNZh48,105,69,69,65.71%,100.00%,4.42,3.86,4.13
Fund12,Building a SocialFi Platform on the Cardano Blockchain - SMILE,Cardano Use Cases: Product,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-product/building-a-socialfi-platform-on-the-cardano-blockchain-smile,3.53,241,31616815,53540184,0,31616815,ADA,NO,400000,NOT FUNDED,10306,Approval Threshold,Cardano Use Cases Product,121960,https://app.ideascaleapp.eu/t/UCNZhwV,114,74,74,64.91%,100.00%,3.93,3.28,3.39
Fund12,Building Development Team,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/building-development-team,3.64,154,9719552,48268793,0,9719552,ADA,NO,49000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122959,https://app.ideascaleapp.eu/t/UCNZiCt,114,71,71,62.28%,100.00%,3.83,3.54,3.56
Fund12,Building the Cardano Kenya Community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/building-the-cardano-kenya-community,3.96,190,15572627,43752430,0,15572627,ADA,NO,50000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120901,https://app.ideascaleapp.eu/t/UCNZhe9,112,76,74,67.86%,97.37%,4.15,3.9,3.82
Fund12,Building the Future: Partnering to Create Chile's Leading Blockchain Lab,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/building-the-future-partnering-to-create-chiles-leading-blockchain-lab,4.04,241,46451634,44295493,0,46451634,ADA,YES,55000,NOT FUNDED,7598,Over Budget,Cardano Open Ecosystem,123532,https://app.ideascaleapp.eu/t/UCNZiMH,115,78,74,67.83%,94.87%,4.28,3.96,3.89
Fund12,Business dashboard - entry level accounting/reporting/analytics for incorporated entities,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/business-dashboard-entry-level-accountingreportinganalytics-for-incorporated-entities,3.21,155,9016022,45974912,0,9016022,ADA,NO,100000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,119857,https://app.ideascaleapp.eu/t/UCNZhM2,104,72,72,69.23%,100.00%,3.5,3.25,2.89
Fund12,Business Lead Generation on Cardano,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/business-lead-generation-on-cardano,4.02,202,76207282,42388606,0,76207282,ADA,YES,100000,FUNDED,6118097,,Cardano Use Cases Concept,123100,https://app.ideascaleapp.eu/t/UCNZiFC,123,79,79,64.23%,100.00%,4.15,4.08,3.84
Fund12,Business Mentoring to Scale Cardano Use Cases on the Ground,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/business-mentoring-to-scale-cardano-use-cases-on-the-ground,3.85,179,23045405,43437933,0,23045405,ADA,NO,48383,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,118844,https://app.ideascaleapp.eu/t/UCNZg6Q,132,84,72,63.64%,85.71%,3.96,3.99,3.6
Fund12,Buy ADA instantly by bank transfer,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/buy-ada-instantly-by-bank-transfer,3.94,294,39422441,59100808,0,39422441,ADA,NO,200000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,119980,https://app.ideascaleapp.eu/t/UCNZhO3,120,77,73,64.17%,94.81%,4.23,3.87,3.72
Fund12,Buy Me a Coffee on Cardano: A Decentralized Platform for Supporting Creators and Innovators,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/buy-me-a-coffee-on-cardano-a-decentralized-platform-for-supporting-creators-and-innovators,4.16,246,34465766,109671701,0,34465766,ADA,NO,80000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,121843,https://app.ideascaleapp.eu/t/UCNZhub,115,61,60,53.04%,98.36%,4.48,4.05,3.95
Fund12,CAP: Cardano Analytics Platform,Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/cap-cardano-analytics-platform,4.19,309,37523588,48803389,0,37523588,ADA,NO,200000,NOT FUNDED,743,Approval Threshold,Cardano Open Developers,120488,https://app.ideascaleapp.eu/t/UCNZhXN,110,71,70,64.55%,98.59%,4.5,4.23,3.83
Fund12,Carda Sci: Decentralized Platform for Scientific Research,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/carda-sci-decentralized-platform-for-scientific-research,3.96,152,27508172,41802653,0,27508172,ADA,NO,89500,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,123636,https://app.ideascaleapp.eu/t/UCNZiNz,111,84,77,75.68%,91.67%,4.28,3.7,3.89
Fund12,Carda-Ramp: One Step Ramp and Faster Onboarding to Cardano Chain,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/carda-ramp-one-step-ramp-and-faster-onboarding-to-cardano-chain,3.81,149,25668650,114278963,0,25668650,ADA,NO,77400,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,122924,https://app.ideascaleapp.eu/t/UCNZiCJ,114,76,76,66.67%,100.00%,4,3.66,3.76
Fund12,CardaCanto - Empowering Cantonese Women in Blockchain,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardacanto-empowering-cantonese-women-in-blockchain,4.03,183,15439328,46515259,0,15439328,ADA,NO,33000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122602,https://app.ideascaleapp.eu/t/UCNZh62,112,69,69,61.61%,100.00%,4.2,3.93,3.97
Fund12,CardaNative Enterprises and Agencies,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardanative-enterprises-and-agencies-85770,3.46,148,15424798,46206774,0,15424798,ADA,NO,75000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123030,https://app.ideascaleapp.eu/t/UCNZiD3,121,79,78,65.29%,98.73%,3.67,3.32,3.39
Fund12,Cardano & Polkadot Digital Marketplace Factory,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/cardano-and-polkadot-digital-marketplace-factory,3.91,211,28589643,42976467,0,28589643,ADA,NO,88000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,120525,https://app.ideascaleapp.eu/t/UCNZhXz,123,83,82,67.48%,98.80%,4.22,3.81,3.7
Fund12,Cardano <-> Polkadot Light Client Bridge - Feasibility Study,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/cardano-less-greater-polkadot-light-client-bridge-feasibility-study,3.64,209,25402266,114648499,0,25402266,ADA,NO,100000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,121371,https://app.ideascaleapp.eu/t/UCNZhmr,121,79,79,65.29%,100.00%,3.97,3.48,3.47
Fund12,Cardano Academia Chain,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/cardano-academia-chain,3.67,143,14153398,40573868,0,14153398,ADA,NO,30000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,122269,https://app.ideascaleapp.eu/t/UCNZh1a,107,76,76,71.03%,100.00%,3.97,3.46,3.58
Fund12,Cardano ADA Demand-Supply Tracking System,Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/cardano-ada-demand-supply-tracking-system,3.86,289,23103140,40336969,0,23103140,ADA,NO,200000,NOT FUNDED,743,Approval Threshold,Cardano Open Developers,121994,https://app.ideascaleapp.eu/t/UCNZhw4,97,54,54,55.67%,100.00%,4.06,3.83,3.7
Fund12,Cardano Adoption Accelerator: Education & Awareness Initiative for Ethiopia,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-adoption-accelerator-education-and-awareness-initiative-for-ethiopia,3.75,156,9762342,44845462,0,9762342,ADA,NO,70000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122359,https://app.ideascaleapp.eu/t/UCNZh23,103,59,59,57.28%,100.00%,4.03,3.69,3.54
Fund12,Cardano Africa Expansion Second Edition: Empowering Communities Through Physical Engagement,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-africa-expansion-second-edition-empowering-communities-through-physical-engagement,3.49,210,19683154,48803167,0,19683154,ADA,NO,50000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122659,https://app.ideascaleapp.eu/t/UCNZh7y,107,69,68,64.49%,98.55%,3.81,3.38,3.29
Fund12,Cardano AI Aggregator,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/cardano-ai-aggregator,3.86,218,41063294,119043475,0,41063294,ADA,NO,156000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,122422,https://app.ideascaleapp.eu/t/UCNZh35,111,77,77,69.37%,100.00%,4.13,3.73,3.73
Fund12,Cardano AI assistant-native language style chain exploration,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/cardano-ai-assistant-native-language-style-chain-exploration,4.20,209,38426126,111255445,0,38426126,ADA,NO,100000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,123381,https://app.ideascaleapp.eu/t/UCNZiJo,108,69,69,63.89%,100.00%,4.45,4.13,4.03
Fund12,Cardano AI Sentiment Tracker,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/cardano-ai-sentiment-tracker-ca061,3.98,197,39849684,117250009,0,39849684,ADA,NO,126000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,122624,https://app.ideascaleapp.eu/t/UCNZh7O,116,74,74,63.79%,100.00%,4.08,4.05,3.8
Fund12,"Cardano AI Suite: Real-Time Insights, Dev Aid & Misinfo Watch",Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/cardano-ai-suite-real-time-insights-dev-aid-and-misinfo-watch,3.83,257,42188573,36444611,0,42188573,ADA,NO,190000,NOT FUNDED,743,Approval Threshold,Cardano Open Developers,122741,https://app.ideascaleapp.eu/t/UCNZh9J,155,88,64,56.77%,72.73%,4,3.81,3.69
Fund12,Cardano Alert: get notified on blockchain transactions matching your search criteria,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/cardano-alert-get-notified-on-blockchain-transactions-matching-your-search-criteria,3.80,160,25694290,50599849,0,25694290,ADA,NO,147000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,122044,https://app.ideascaleapp.eu/t/UCNZhxt,105,70,70,66.67%,100.00%,3.9,3.9,3.6
Fund12,Cardano Anti-Human Trafficking - BlockLiberate,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-anti-human-trafficking-blockliberate,3.30,199,17399102,62807486,0,17399102,ADA,NO,73200,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122999,https://app.ideascaleapp.eu/t/UCNZiDX,112,66,65,58.93%,98.48%,3.58,3.17,3.14
Fund12,Cardano Antimicrobial Resistance (AMR) Awareness Campaign for Secondary and Tertiary Level Students in Sunyani/Bono Region-Ghana,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-antimicrobial-resistance-amr-awareness-campaign-for-secondary-and-tertiary-level-students-in-sunyanibono-region-ghana,3.92,172,9007735,47987050,0,9007735,ADA,NO,31411,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122557,https://app.ideascaleapp.eu/t/UCNZh6I,111,68,68,61.26%,100.00%,4.13,3.85,3.79
Fund12,Cardano API Gateway: Democratizing Access to Cardano Services,Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/cardano-api-gateway-democratizing-access-to-cardano-services,3.78,270,42048630,37698550,0,42048630,ADA,NO,159075,NOT FUNDED,743,Approval Threshold,Cardano Open Developers,120459,https://app.ideascaleapp.eu/t/UCNZhWu,108,65,63,60.19%,96.92%,3.8,3.73,3.8
Fund12,Cardano Awareness Campaigns in Ghana's Newly Created Regions,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-awareness-campaigns-in-ghanas-newly-created-regions,3.71,162,9458863,48221018,0,9458863,ADA,NO,60000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120538,https://app.ideascaleapp.eu/t/UCNZhYC,125,87,84,69.60%,96.55%,3.88,3.74,3.5
Fund12,Cardano Base Mobile App,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/cardano-base-mobile-app,3.64,188,17364461,45083194,0,17364461,ADA,NO,79500,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,123555,https://app.ideascaleapp.eu/t/UCNZiMf,124,84,79,67.74%,94.05%,3.85,3.62,3.45
Fund12,Cardano Beam - GPS Smart Contracts,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/cardano-beam-gps-smart-contracts,4.19,205,39366097,114942804,0,39366097,ADA,NO,211900,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,122323,https://app.ideascaleapp.eu/t/UCNZh2S,101,55,55,54.46%,100.00%,4.29,4.25,4.02
Fund12,cardano blind game,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/cardano-blind-game,3.35,193,19794123,53608865,0,19794123,ADA,NO,20000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,120734,https://app.ideascaleapp.eu/t/UCNZhcP,106,53,52,50.00%,98.11%,3.77,3.15,3.12
Fund12,Cardano Blockchain Education Program For Top Ethiopian Universities.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-blockchain-education-program-for-top-ethiopian-universities,4.28,227,26289266,44802966,0,26289266,ADA,NO,99600,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,118836,https://app.ideascaleapp.eu/t/UCNZg6I,118,83,72,70.34%,86.75%,4.42,4.28,4.14
Fund12,Cardano Blockchain Entrepreneurship Incubation,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-blockchain-entrepreneurship-incubation,3.99,198,27513611,41190494,0,27513611,ADA,NO,16440,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,119444,https://app.ideascaleapp.eu/t/UCNZhGG,108,67,65,62.04%,97.01%,4.4,3.75,3.83
Fund12,Cardano Blockchain Toronto @ Blockchain Futurist Conference 2024,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-blockchain-toronto-blockchain-futurist-conference-2024,4.11,205,28569961,42009099,0,28569961,ADA,NO,97800,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122581,https://app.ideascaleapp.eu/t/UCNZh6h,118,77,77,65.25%,100.00%,4.32,4.26,3.75
Fund12,Cardano Blockchain Vietnam Meetup: Strengthening Cooperation and Connecting Cardano with the Community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-blockchain-vietnam-meetup-strengthening-cooperation-and-connecting-cardano-with-the-community,4.05,227,60012540,58305162,0,60012540,ADA,YES,88952,FUNDED,1423265,,Cardano Open Ecosystem,121183,https://app.ideascaleapp.eu/t/UCNZhjm,107,76,74,71.03%,97.37%,4.08,4.16,3.92
Fund12,Cardano Campus Incubation Hub,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-campus-incubation-hub-e7c35,3.96,172,14872853,48891945,0,14872853,ADA,NO,28400,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,119206,https://app.ideascaleapp.eu/t/UCNZhCM,115,77,74,66.96%,96.10%,4.26,3.93,3.69
Fund12,Cardano Caravan Store: Education and Empowering Yoroi/Eternl/Nami Wallet Payments among students and Beyond,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-caravan-store-education-and-empowering-yoroieternlnami-wallet-payments-among-students-and-beyond,3.77,189,12747621,52407272,0,12747621,ADA,NO,52000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120493,https://app.ideascaleapp.eu/t/UCNZhXS,107,69,69,64.49%,100.00%,3.99,3.72,3.61
Fund12,"Cardano Center BA, A space for the Cardano community 🏛",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-center-ba-a-space-for-the-cardano-community,3.97,157,11183035,44982521,0,11183035,ADA,NO,52196,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123047,https://app.ideascaleapp.eu/t/UCNZiEK,119,64,63,53.78%,98.44%,4.06,4.05,3.81
Fund12,Cardano Center Bali,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-center-bali,4.11,197,20954108,44981950,0,20954108,ADA,NO,100000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122212,https://app.ideascaleapp.eu/t/UCNZh0e,109,67,67,61.47%,100.00%,4.28,4.03,4.01
Fund12,Cardano Center Brisbane,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-center-brisbane,3.72,177,18299959,47245040,0,18299959,ADA,NO,100000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122897,https://app.ideascaleapp.eu/t/UCNZiBs,114,77,76,67.54%,98.70%,3.98,3.6,3.59
Fund12,Cardano Center Moldova,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-center-moldova,3.84,183,16002510,46896120,0,16002510,ADA,NO,99400,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123581,https://app.ideascaleapp.eu/t/UCNZiM5,126,85,76,67.46%,89.41%,4.16,3.77,3.59
Fund12,Cardano Charity Platform,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-charity-platform,3.51,166,10597173,50279366,0,10597173,ADA,NO,50000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,119327,https://app.ideascaleapp.eu/t/UCNZhEL,111,77,74,69.37%,96.10%,3.78,3.31,3.43
Fund12,Cardano City Challenge: Croatia Meetup,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-city-challenge-croatia-meetup,4.10,188,17202369,49106513,0,17202369,ADA,NO,99800,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123645,https://app.ideascaleapp.eu/t/UCNZiN8,137,84,68,61.31%,80.95%,4.33,4.06,3.9
Fund12,Cardano Classroom: Strengthening East Africa through Blockchain Education,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-classroom-strengthening-east-africa-through-blockchain-education,4.06,192,36543402,44058270,0,36543402,ADA,NO,60000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,118830,https://app.ideascaleapp.eu/t/UCNZg6C,124,73,59,58.87%,80.82%,4.21,4.09,3.88
Fund12,Cardano CLI GUI,Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/cardano-cli-gui,4.24,320,38136958,31467971,0,38136958,ADA,NO,150000,NOT FUNDED,743,Approval Threshold,Cardano Open Developers,123471,https://app.ideascaleapp.eu/t/UCNZiLH,107,72,65,67.29%,90.28%,4.43,4.32,3.98
